name,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s
GPS BIIR-2  (PRN 13),14723.169534549808,3428.902572278446,-22108.021380558002,-1.2000712855341964,3.643156578641238,-0.21190579893231373
GPS BIIR-5  (PRN 22),14705.233675566504,21529.964234057443,-5502.4300081941265,-2.2644188348122563,0.7078973619138096,-3.0466013540260684
GPS BIIR-8  (PRN 16),-21239.733143268233,-11252.271972577533,-11165.124971391258,0.0776981149693902,-2.7419627520140035,2.7475792445284055
GPS BIIR-11 (PRN 19),5263.188855858456,20181.645455089878,16045.459386286351,-2.320289413018603,2.2916551201868107,-2.1568696066550865
GPS BIIR-13 (PRN 02),-25275.310856814976,7923.089384788152,-3720.5966528114477,-0.18917773283152284,-2.2572674770945276,-3.109102660719139
GPS BIIRM-1 (PRN 17),58.127130949107276,25041.261221439207,9586.998054569116,-2.3466357039810113,1.0580322831757152,-2.8457846993208546
GPS BIIRM-2 (PRN 31),-17240.96832392618,-8179.329955878112,18067.695596111407,2.804452718406325,-2.117481135528705,1.7261767929124094
GPS BIIRM-3 (PRN 12),16416.31088860186,-3499.535747422589,20307.270786472272,2.019538406215719,3.1665583520981073,-1.0699083131555076
GPS BIIRM-4 (PRN 15),15394.55670149284,-8264.26295860494,-20571.93822847108,0.5926646443376336,3.6217042515570546,-1.0295150040074277
GPS BIIRM-5 (PRN 29),11313.983857106688,-23279.65778517113,6261.017825043844,1.7113389441253557,1.6588293156425853,3.0412193663596434
GPS BIIRM-6 (PRN 07),-11533.729853836836,16491.508786165556,-16964.471942844993,-3.4023374522785153,-0.31634061573702116,1.8985183228816842
GPS BIIRM-8 (PRN 05),22165.977913951767,6656.071407096055,-13174.955132193782,0.6697439673597047,2.797142109944419,2.5797148665368232
GPS BIIF-1  (PRN 25),8438.641038822536,-12888.246364553055,21257.09620821936,3.081809120990204,2.4071760814650784,0.25721115298485375
GPS BIIF-3  (PRN 24),24694.93903553822,-10335.094776507498,-854.4242420315433,0.8432196124728792,2.1212276927749674,-3.089821569851271
GPS BIIF-4  (PRN 27),-14413.864136658853,-6222.446528192469,-21714.40100130003,1.0314530615075188,-3.675011849817609,0.41649443583606854
GPS BIIF-5  (PRN 30),1111.47098612852,15960.13544750966,-21046.755485314312,-3.759374314325012,0.8988873171852956,0.4530006931703343
GPS BIIF-6  (PRN 06),9509.208601320788,12066.848739083664,21714.46163528738,-3.4859173607095206,1.5265934256345977,0.6924347453333535
GPS BIIF-7  (PRN 09),-7871.034874922897,24970.559886510768,4581.566346765026,-1.9738130748462595,-1.2054693451230813,3.1044083348994747
GPS BIIF-8  (PRN 03),-14648.028421293391,5495.41804357737,21291.454529475363,-2.384643642889227,-2.956232208941624,-0.8595266403617449
GPS BIIF-9  (PRN 26),-19726.940644555623,-17213.640861874086,2726.6551564496153,1.8057122209266132,-1.548374125057019,3.101720664605721
GPS BIIF-10 (PRN 08),-16010.08868001111,6705.180285372209,-20370.575267730816,-0.15375616522765723,-3.692857890848526,-1.0575909437141437
GPS BIIF-11 (PRN 10),-12729.114400371953,-20657.66008361858,-10147.133284431766,2.623414689488842,-0.17638643730222936,-2.8966322461492218
GPS BIIF-12 (PRN 32),-3410.4644569655748,-23655.239081735046,11619.016177784513,2.240021630631139,-1.6178369727653548,-2.7122960339147597
GPS BIII-1  (PRN 04),-14770.62782110688,16230.238179349497,15095.641743028322,-0.889288374835878,-2.967343608170004,2.3077798645300294
GPS BIII-2  (PRN 18),9489.3108033123,-16253.85202309124,-18806.8026576923,3.4983174787064355,0.10620773130127246,1.6446417623372602
GPS BIII-3  (PRN 23),511.8421140248313,-17162.27694216788,-20136.373218175493,3.2646721148553195,1.637284027335356,-1.3335996884213486
GPS BIII-4  (PRN 14),10133.564781850528,21272.350234768426,-11909.366049579334,-2.883211313559435,-0.08745334290971601,-2.620628294679936
GPS BIII-5  (PRN 11),21195.08243048564,5107.089528241168,15266.865725750165,-2.1799158573684094,2.237737174051655,2.277224485904189
GPS BIII-6  (PRN 28),-7404.59303646805,-13413.556265632898,21690.55829036317,3.5636338124106235,-1.4913166680726153,0.295904374462811
GPS BIII-7  (PRN 01),-23080.48167536353,10916.109909520372,7379.390314571575,-1.769244588183867,-1.7222008149032249,-2.9822032803065786
GPS BIII-8  (PRN 21),20726.555609567396,16257.568604494656,-3384.4308307489428,-1.0660238048349577,2.0110313233574244,3.135216804652889
